id,name,latitude,longtitude,dpcapacity,online_date
399,"South Shore Dr & 74th St",41.7622,-87.5593,11,2015-04-23
400,"Cottage Grove Ave & 71st St",41.7657,-87.605,19,2015-04-21
401,"Shields Ave & 28th Pl",41.8427,-87.6355,11,2015-05-07
402,"Shields Ave & 31st St",41.8385,-87.6354,15,2015-04-14
403,"Wentworth Ave & 33rd St",41.8345,-87.6318,15,2015-04-14
405,"Wentworth Ave & 35th St",41.8308,-87.6325,15,2016-07-11
406,"Lake Park Ave & 35th St",41.8313,-87.6088,19,2015-04-14
407,"State St & Pershing Rd",41.823,-87.6266,19,2015-04-14
408,"Union Ave & 42nd St",41.8176,-87.6436,15,2015-04-15
409,"Shields Ave & 43rd St",41.8162,-87.6348,15,2015-04-15
410,"Prairie Ave & 43rd St",41.8167,-87.6194,19,2015-04-15
411,"Halsted St & 47th Pl",41.8081,-87.6456,11,2015-04-15
412,"Princeton Ave & 47th St",41.8093,-87.6334,19,2015-04-15
